,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,CarParking,Prsqft
0,187,20.0,450,Burari,1,1,0,4444.444444444444
1,188,54.0,1125,Burari,3,1,0,4800.0
2,189,33.0,675,Burari,2,1,0,4888.888888888889
3,190,56.0,1200,Burari,3,1,0,4666.666666666667
4,191,33.0,675,Burari,2,1,0,4888.888888888889
5,192,26.0,540,Burari,2,1,0,4814.814814814815
6,193,27.0,630,Burari,2,1,0,4285.714285714285
7,194,55.0,1080,Burari,3,1,0,5092.592592592592
8,195,30.0,750,Chattarpur,2,1,0,4000.0
9,196,30.0,800,Chattarpur,2,1,0,3750.0
10,197,44.0,810,Chattarpur,2,0,0,5432.098765432099
11,198,85.0,1800,Chattarpur,3,1,0,4722.222222222223
12,199,90.0,2200,Chattarpur,4,1,0,4090.909090909091
13,200,32.0,750,Chattarpur,2,1,0,4266.666666666667
14,201,32.0,750,Chattarpur,2,1,0,4266.666666666667
15,202,32.0,750,Chattarpur,2,1,0,4266.666666666667
16,203,60.0,1450,Chattarpur,3,0,0,4137.931034482759
17,204,88.0,1400,Chattarpur,3,0,0,6285.714285714285
18,205,85.0,1550,Chattarpur,3,0,0,5483.870967741936
19,206,85.0,1550,Chattarpur,3,0,0,5483.870967741936
20,207,160.0,2600,Chattarpur,4,0,0,6153.846153846154
21,208,33.0,750,Chattarpur,2,1,0,4400.0
22,209,60.0,1350,Chattarpur,2,1,0,4444.444444444444
23,210,55.0,1300,Chattarpur,3,1,1,4230.769230769231
24,211,48.0,1300,Chattarpur,3,0,1,3692.307692307693
25,212,44.0,1450,Chattarpur,3,0,1,3034.4827586206898
26,213,53.0,1500,Chattarpur,3,0,0,3533.333333333333
27,214,40.0,900,Chattarpur,2,0,0,4444.444444444444
28,215,65.0,1160,Chattarpur,3,0,0,5603.448275862069
29,216,40.0,900,Chattarpur,2,0,0,4444.444444444444
30,217,30.0,750,Chattarpur,2,0,0,4000.0
31,218,51.0,1500,Chattarpur,3,0,0,3400.0
32,219,30.71,818,Chattarpur,2,0,0,3754.278728606357
33,220,33.0,845,Chattarpur,2,0,0,3905.3254437869823
34,221,45.0,1250,Chattarpur,3,1,0,3600.0
35,222,59.99,1350,Chattarpur,3,1,0,4443.703703703704
36,223,51.0,1500,Chattarpur,3,0,0,3400.0
37,224,49.0,1475,Chattarpur,3,0,0,3322.0338983050847
38,225,26.0,833,Chattarpur,2,0,0,3121.24849939976
39,226,28.0,850,Chattarpur,2,0,0,3294.1176470588234
40,227,25.0,900,Chattarpur,2,0,1,2777.777777777778
41,228,43.51,1450,Chattarpur,3,0,1,3000.689655172414
42,229,29.0,799,Chattarpur,2,1,1,3629.53692115144
43,230,43.0,1400,Chattarpur,3,0,0,3071.428571428572
44,231,46.99,1300,Chattarpur,3,0,0,3614.6153846153848
45,232,108.0,1300,Chattarpur,3,1,9,8307.692307692309
46,233,95.0,1250,Chattarpur,3,1,9,7600.0
47,234,55.0,1337,Chattarpur,3,0,9,4113.687359760658
48,235,67.0,1381,Chattarpur,3,0,9,4851.556842867487
49,238,160.0,1350,Chattarpur,3,0,9,11851.851851851852
50,240,189.0,1100,Chattarpur,2,1,9,17181.81818181818
51,244,41.79999,1250,Chattarpur,3,1,9,3343.9992
52,245,260.0,1650,Chittaranjan Park,4,1,0,15757.575757575758
53,246,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
54,247,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
55,248,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
56,249,160.0,1400,Chittaranjan Park,3,0,0,11428.57142857143
57,250,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
58,251,150.0,1025,Chittaranjan Park,3,0,0,14634.146341463416
59,252,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
60,253,150.0,1025,Chittaranjan Park,3,0,0,14634.146341463416
61,254,160.0,1400,Chittaranjan Park,3,0,0,11428.57142857143
62,255,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
63,256,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
64,257,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
65,258,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
66,259,148.0,1030,Chittaranjan Park,3,0,0,14368.932038834952
67,260,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
68,261,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
69,262,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
70,263,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
71,264,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
72,265,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
73,266,155.0,1025,Chittaranjan Park,3,0,0,15121.951219512195
74,267,155.0,1035,Chittaranjan Park,3,0,0,14975.84541062802
75,268,155.0,1150,Chittaranjan Park,2,1,9,13478.260869565218
76,269,150.0,1150,Chittaranjan Park,2,1,9,13043.478260869566
77,270,110.0,1150,Chittaranjan Park,2,1,9,9565.217391304348
78,271,160.0,1400,Delhi,3,1,9,11428.57142857143
79,272,250.0,2000,Delhi,3,1,9,12500.0
80,273,108.0,3600,Delhi,4,1,9,3000.0
81,274,500.0,4430,Delhi,5,1,9,11286.681715575622
82,275,160.0,4430,Delhi,5,1,9,3611.738148984199
83,276,200.0,2000,Delhi,3,1,9,10000.0
84,277,160.0,2400,Delhi,3,1,9,6666.666666666667
85,278,155.0,2400,Delhi,3,1,9,6458.333333333333
86,279,155.0,1500,Delhi,3,1,9,10333.333333333334
87,280,118.0,1850,Delhi,3,1,9,6378.378378378378
88,281,147.0,1200,Delhi,2,1,9,12250.0
89,282,175.0,1800,Delhi,3,1,9,9722.222222222224
90,283,118.0,1950,Delhi,3,1,9,6051.282051282052
91,284,155.0,1200,Delhi,2,1,9,12916.666666666666
92,285,235.0,1400,Delhi,3,1,9,16785.714285714286
93,286,235.0,2600,Delhi,4,1,9,9038.46153846154
94,287,450.0,2600,Delhi,4,1,9,17307.69230769231
95,288,130.0,4430,Delhi,5,1,9,2934.537246049661
96,289,138.99999,1420,Delhi,2,1,9,9788.731690140845
97,291,211.0,1550,Delhi,3,1,9,13612.90322580645
98,292,150.0,2150,Delhi,4,1,9,6976.744186046512
99,293,180.0,5175,Delhi,3,1,9,3478.260869565217
100,295,80.0,2700,Delhi,6,1,9,2962.962962962963
101,296,20.0,505,Delhi,2,1,9,3960.3960396039606
102,297,75.0,645,Delhi,2,1,9,11627.906976744183
103,298,120.0,1125,Delhi,3,1,9,10666.666666666666
104,300,42.0,540,Delhi,2,1,9,7777.777777777777
105,301,63.36,540,Delhi,2,1,9,11733.333333333334
106,302,27.0,725,Delhi,2,1,9,3724.137931034483
107,303,29.01,900,Delhi,3,1,9,3223.333333333333
108,304,70.0,900,Delhi,2,1,9,7777.777777777777
109,307,62.0,801,Delhi,3,1,9,7740.324594257178
110,308,38.0,1000,Delhi,3,1,9,3800.0
111,309,64.0,625,Delhi,2,1,9,10240.0
112,310,47.0,1000,Delhi,3,1,9,4700.0
113,311,21.0,690,Delhi,2,1,9,3043.478260869565
114,312,36.0,700,Delhi,2,1,9,5142.857142857143
115,313,38.0,521,Delhi,2,1,9,7293.666026871401
116,314,28.0,520,Delhi,2,1,9,5384.615384615385
117,315,67.0,700,Delhi,2,1,9,9571.42857142857
118,316,23.0,585,Delhi,2,1,9,3931.623931623932
119,317,280.0,1610,Delhi,2,1,9,17391.304347826088
120,318,115.0,1629,Delhi,2,1,9,7059.545733578882
121,320,25.0,1089,Delhi,3,0,9,2295.684113865932
122,321,135.0,1053,Delhi,2,1,9,12820.51282051282
123,323,60.0,1000,Delhi Meerut Expressway,2,1,9,6000.0
124,325,40.0,1440,Delhi Meerut Expressway,3,1,9,2777.777777777778
125,326,70.0,810,Delhi Meerut Expressway,2,1,9,8641.975308641975
126,327,100.0,1125,Delhi Meerut Expressway,3,1,9,8888.888888888889
127,328,22.0,530,Delhi Meerut Expressway,2,1,9,4150.943396226415
128,329,22.0,530,Delhi Meerut Expressway,2,1,9,4150.943396226415
129,330,35.0,1180,Delhi Meerut Expressway,4,1,9,2966.101694915254
130,331,180.0,1500,Delhi Meerut Expressway,5,1,9,12000.0
131,332,90.0,1751,Delhi Meerut Expressway,3,1,9,5139.920045688178
132,333,250.0,1674,Delhi Meerut Expressway,2,1,9,14934.289127837515
